os,ip,nic,target,suite name,case name,2019-10-18_result,ower
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_vm_power_managment_frequp,blocked,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_vm_power_multivms,blocked,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,blacklist,test_bl_allbutoneportblacklisted,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,blacklist,test_bl_noblacklisted,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,blacklist,test_bl_oneportblacklisted,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,checksum_offload,test_checksum_offload_disable,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,checksum_offload,test_checksum_offload_enable,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,checksum_offload,test_checksum_offload_with_vlan,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,checksum_offload,test_rx_checksum_valid_flags,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,coremask,test_all_cores_coremask,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,coremask,test_big_coremask,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,coremask,test_individual_coremask,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,coremask,test_wrong_coremask,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,dual_vlan,test_vlan_filter_config,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,dual_vlan,test_vlan_filter_table,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,dual_vlan,test_vlan_insert_config,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,dual_vlan,test_vlan_random_test,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,dual_vlan,test_vlan_strip_config,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,dual_vlan,test_vlan_stripq_config,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,dual_vlan,test_vlan_synthetic_test,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,dual_vlan,test_vlan_tpid_config,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,enable_package_download_in_ice_driver,test_download_the_package_successfully,failed,
